ID,Health,Type
58,80,Dove
59,20,Dove
60,80,Dove
61,40,Dove
62,100,Dove
63,60,Dove
64,80,Dove
65,80,Dove
66,80,Dove
67,100,Dove
68,80,Dove
69,60,Dove
70,60,Dove
71,40,Dove
72,100,Dove
73,60,Dove
74,60,Hawk
75,100,Hawk
76,60,Hawk
77,20,Hawk
78,80,Hawk
79,20,Hawk
80,100,Hawk
81,100,Hawk
82,100,Hawk
83,80,Hawk
84,80,Hawk
85,20,Hawk
86,40,Hawk
87,60,Hawk
88,20,Hawk
89,100,Hawk
90,40,Hawk
91,20,Hawk
92,20,Hawk
93,40,Hawk
94,80,Hawk
95,100,Hawk
96,80,Hawk
97,40,Hawk
98,100,Hawk
99,40,Hawk
100,80,Hawk
101,60,Hawk
102,40,Hawk
103,100,Hawk
104,80,Hawk
105,20,Hawk
106,40,Hawk
107,20,Hawk
108,60,Hawk
109,80,Hawk
110,100,Hawk
111,40,Hawk
112,80,Hawk
113,60,Hawk
114,20,Hawk
115,80,Hawk
116,60,Hawk
117,20,Hawk
118,100,Hawk
119,20,Hawk
120,20,Hawk
121,60,Hawk
122,100,Hawk
123,60,Hawk
124,80,Hawk
125,60,Hawk
126,100,Hawk
127,80,Hawk
128,40,Hawk
129,80,Hawk
130,80,Hawk
131,40,Hawk
132,60,Hawk
133,100,Hawk
134,60,Hawk
135,20,Hawk
136,60,Hawk
137,100,Hawk
138,40,Hawk
139,60,Hawk
140,40,Hawk
141,80,Hawk
142,60,Hawk
143,80,Hawk
144,100,Hawk
145,60,Hawk
146,100,Hawk
