ID,Health,Type
1,100,Dove
2,20,Dove
3,80,Dove
4,20,Dove
5,80,Dove
6,60,Dove
7,60,Dove
8,40,Dove
9,100,Dove
10,40,Dove
11,100,Dove
12,20,Dove
13,100,Dove
14,40,Dove
15,80,Dove
16,80,Dove
17,60,Dove
18,40,Dove
19,60,Dove
20,100,Dove
21,40,Dove
22,100,Dove
23,80,Dove
24,40,Dove
25,20,Dove
26,40,Dove
27,40,Dove
28,60,Dove
29,80,Dove
30,80,Dove
31,40,Dove
32,60,Dove
33,40,Dove
34,100,Dove
35,40,Dove
36,80,Dove
37,20,Dove
38,100,Dove
39,60,Dove
40,60,Dove
41,40,Dove
42,80,Dove
43,40,Dove
44,40,Dove
45,80,Dove
46,40,Dove
47,100,Dove
48,80,Dove
49,60,Dove
50,40,Dove
51,20,Dove
52,60,Dove
53,40,Dove
54,60,Dove
55,100,Dove
56,20,Dove
57,80,Dove
58,60,Dove
59,80,Dove
60,80,Dove
61,80,Dove
62,20,Dove
63,60,Dove
64,20,Dove
65,80,Dove
66,100,Dove
67,100,Dove
68,40,Dove
69,20,Dove
70,80,Dove
71,60,Dove
72,60,Dove
73,60,Dove
74,80,Dove
75,60,Dove
76,80,Dove
77,60,Dove
78,80,Dove
79,20,Dove
80,100,Dove
81,80,Dove
82,20,Dove
83,60,Dove
84,100,Hawk
85,20,Hawk
86,60,Hawk
87,60,Hawk
88,40,Hawk
89,40,Hawk
90,80,Hawk
91,60,Hawk
92,100,Hawk
93,20,Hawk
94,40,Hawk
95,40,Hawk
96,20,Hawk
97,40,Hawk
98,20,Hawk
99,80,Hawk
100,80,Hawk
101,80,Hawk
102,80,Hawk
103,20,Hawk
104,20,Hawk
105,80,Hawk
106,80,Hawk
107,80,Hawk
108,80,Hawk
109,20,Hawk
110,60,Hawk
111,40,Hawk
112,20,Hawk
113,100,Hawk
114,40,Hawk
115,100,Hawk
116,60,Hawk
117,80,Hawk
118,40,Hawk
119,100,Hawk
120,80,Hawk
121,80,Hawk
122,100,Hawk
123,20,Hawk
124,60,Hawk
125,60,Hawk
126,100,Hawk
127,100,Hawk
128,80,Hawk
129,20,Hawk
130,100,Hawk
131,100,Hawk
132,80,Hawk
133,20,Hawk
134,100,Hawk
135,40,Hawk
136,100,Hawk
137,20,Hawk
138,60,Hawk
139,20,Hawk
140,40,Hawk
141,60,Hawk
142,40,Hawk
143,60,Hawk
144,80,Hawk
145,20,Hawk
146,100,Hawk
147,60,Hawk
148,80,Hawk
149,80,Hawk
150,20,Hawk
151,100,Hawk
152,80,Hawk
153,40,Hawk
154,60,Hawk
155,60,Hawk
156,40,Hawk
157,20,Hawk
158,60,Hawk
159,80,Hawk
160,20,Hawk
161,60,Hawk
162,40,Hawk
163,60,Hawk
164,60,Hawk
165,100,Hawk
166,20,Hawk
ID,Health,Type
1,100,Dove
2,20,Dove
3,80,Dove
4,100,Dove
5,20,Dove
6,20,Dove
7,100,Dove
8,20,Dove
9,40,Dove
10,80,Dove
11,20,Dove
12,60,Dove
13,100,Dove
14,40,Dove
15,40,Dove
16,40,Dove
17,20,Dove
18,100,Dove
19,20,Dove
20,100,Dove
21,100,Dove
22,80,Dove
23,60,Dove
24,20,Dove
25,60,Dove
26,100,Dove
27,40,Dove
28,20,Dove
29,60,Dove
30,100,Dove
31,20,Dove
32,40,Dove
33,20,Dove
34,20,Dove
35,20,Dove
36,100,Dove
37,80,Dove
38,40,Dove
39,100,Dove
40,20,Dove
41,40,Dove
42,80,Dove
43,60,Dove
44,100,Dove
45,40,Dove
46,60,Dove
47,60,Dove
48,80,Dove
49,60,Dove
50,80,Dove
51,40,Dove
52,100,Dove
53,40,Dove
54,40,Dove
55,60,Dove
56,100,Dove
57,100,Dove
58,40,Dove
59,20,Dove
60,40,Dove
61,80,Dove
62,100,Dove
63,80,Dove
64,20,Dove
65,40,Dove
66,80,Dove
67,100,Dove
68,80,Dove
69,100,Dove
70,20,Dove
71,60,Dove
72,20,Dove
73,100,Dove
74,100,Dove
75,100,Dove
76,40,Dove
77,100,Dove
78,40,Dove
79,40,Dove
80,60,Dove
81,80,Dove
82,100,Dove
83,40,Dove
84,60,Dove
85,40,Dove
86,60,Dove
87,100,Dove
88,60,Dove
89,80,Dove
90,100,Dove
91,80,Dove
92,20,Dove
93,20,Dove
94,100,Hawk
95,20,Hawk
96,20,Hawk
97,80,Hawk
98,20,Hawk
99,100,Hawk
100,80,Hawk
101,100,Hawk
102,40,Hawk
103,20,Hawk
104,20,Hawk
105,60,Hawk
106,40,Hawk
107,100,Hawk
108,60,Hawk
109,100,Hawk
110,80,Hawk
111,60,Hawk
112,20,Hawk
113,60,Hawk
114,80,Hawk
